date,tmax_degC,tmin_degC,rainfall_mm,humidity_pct,radiation_wm2,wind_speed_ms,dewpoint_degC,surface_pressure_hpa,soil_moisture,evapotranspiration_mm
22-04-1961,40.9,27.6,0.0,11,321.87293999999997,20.8,-1.9,945.7,0.244,11.11
23-04-1961,38.6,24.3,0.0,8,332.40528,17.3,-7.7,946.5,0.244,9.47
24-04-1961,39.1,23.4,0.0,10,329.39604,17.6,-4.6,947.8,0.244,8.69
25-04-1961,39.8,24.9,0.0,11,326.27106000000003,15.2,-2.6,948.7,0.244,8.34
26-04-1961,40.5,24.6,0.0,11,327.08124000000004,16.4,-2.4,947.3,0.244,8.43
27-04-1961,41.6,23.8,0.0,12,328.7016,16.3,-1.6,945.9,0.244,8.93
28-04-1961,41.5,26.0,0.0,16,317.47481999999997,18.9,3.8,945.4,0.244,10.17
29-04-1961,41.1,27.0,0.2,23,301.5027,21.8,8.2,946.2,0.244,10.06
30-04-1961,40.7,28.2,0.1,19,270.71586,21.8,6.6,946.7,0.245,10.0
01-05-1961,40.5,28.0,0.0,19,312.84522,21.1,6.3,946.2,0.246,10.37
02-05-1961,40.5,26.9,0.0,19,313.88688,17.7,5.8,944.8,0.245,10.21
03-05-1961,40.5,27.7,0.0,18,298.72494,15.6,5.4,946.0,0.244,9.13
04-05-1961,39.6,28.5,1.1,22,266.08626,13.3,8.4,947.2,0.247,7.56
05-05-1961,38.7,26.9,0.0,24,281.94264,16.6,8.9,946.2,0.251,8.33
06-05-1961,38.9,26.3,0.0,19,320.59979999999996,21.4,5.1,944.9,0.248,9.79
07-05-1961,36.9,25.1,1.4,28,268.63254,15.0,9.8,944.7,0.246,7.45
08-05-1961,38.0,25.8,0.0,33,278.81766,14.1,12.6,944.5,0.252,6.68
09-05-1961,38.9,27.3,1.0,34,265.16034,21.7,13.1,943.4,0.265,8.08
10-05-1961,38.8,27.0,1.7,40,279.28062,19.1,15.4,944.0,0.271,8.09
11-05-1961,38.6,25.8,0.3,41,298.14624000000003,19.6,16.2,944.1,0.284,8.51
12-05-1961,38.1,24.9,0.0,43,304.85916,18.5,15.9,944.3,0.282,8.23
13-05-1961,38.4,25.3,0.1,40,308.21562,16.5,15.1,945.3,0.271,8.25
14-05-1961,39.1,26.7,0.0,32,292.70646,14.5,12.8,946.6,0.263,7.62
15-05-1961,40.4,27.9,0.0,26,306.711,15.2,11.0,946.4,0.255,8.56
16-05-1961,41.2,30.1,0.0,17,318.40074000000004,18.5,6.0,946.1,0.25,10.87
17-05-1961,42.0,29.5,0.0,16,322.10441999999995,19.2,5.7,944.8,0.247,10.92
18-05-1961,42.2,30.1,0.0,19,308.79431999999997,19.5,8.0,944.1,0.245,9.66
19-05-1961,41.6,30.6,0.0,23,283.33152,19.0,10.9,944.2,0.245,9.79
20-05-1961,38.6,29.8,2.7,39,277.08156,19.7,17.2,943.7,0.253,8.29
21-05-1961,37.8,27.1,0.0,42,294.67404,18.0,16.5,942.0,0.268,8.1
22-05-1961,38.3,26.2,0.0,39,290.73888,14.5,15.9,942.1,0.26,7.36
23-05-1961,39.2,28.5,0.0,33,278.81766,12.3,14.5,942.9,0.254,7.41
24-05-1961,40.1,29.0,0.0,27,272.45196,17.3,12.3,942.7,0.25,7.76
25-05-1961,39.0,28.6,0.0,35,247.22064,18.0,15.1,941.4,0.247,7.96
26-05-1961,38.6,26.1,0.0,40,278.9334,23.8,15.3,942.6,0.246,8.62
27-05-1961,38.7,26.0,0.0,38,306.94248,22.8,14.3,941.9,0.245,9.05
28-05-1961,38.4,26.3,0.0,33,295.48422,18.8,13.0,941.1,0.245,8.89
29-05-1961,38.3,26.0,0.2,40,289.23426,18.6,15.7,940.3,0.245,8.11
30-05-1961,37.7,26.4,0.3,42,281.71116,19.9,17.1,940.6,0.247,8.02
31-05-1961,38.6,25.9,0.0,40,304.85916,21.2,15.3,942.7,0.25,9.09
01-06-1961,38.5,24.9,0.0,41,314.11836,21.0,15.8,944.7,0.248,8.95
02-06-1961,38.0,26.0,1.2,41,301.27122,23.6,16.6,946.3,0.247,8.87
03-06-1961,37.6,26.2,0.5,46,291.20184,19.1,18.0,946.0,0.248,7.96
04-06-1961,37.0,25.8,0.2,45,282.86856,21.3,17.8,944.3,0.248,7.96
05-06-1961,35.5,26.0,0.0,50,292.12775999999997,20.8,18.7,942.3,0.248,7.87
06-06-1961,34.7,24.5,0.0,49,292.59072000000003,21.8,16.9,941.0,0.246,7.93
07-06-1961,34.4,25.3,0.0,51,250.57709999999997,23.4,18.1,939.1,0.246,7.23
08-06-1961,35.0,25.3,0.0,53,236.45682,19.7,19.1,938.2,0.245,6.18
09-06-1961,32.9,25.7,11.9,67,187.73028,17.3,21.9,940.4,0.287,4.49
10-06-1961,30.5,23.3,12.9,85,182.63772,21.3,23.1,940.7,0.49,3.38
11-06-1961,29.9,23.0,22.7,78,178.35534,26.6,21.7,940.3,0.477,3.99
12-06-1961,33.0,23.9,0.0,61,262.61406,30.4,19.2,939.7,0.438,6.55
13-06-1961,33.0,23.4,0.0,60,293.63238,28.0,18.8,940.9,0.405,6.88
14-06-1961,33.2,23.6,0.0,58,304.16472,24.4,18.6,942.4,0.376,7.11
15-06-1961,33.9,24.0,0.0,57,265.39182,22.1,18.6,942.9,0.352,6.65
16-06-1961,33.5,23.8,0.0,55,301.5027,23.3,17.9,942.6,0.332,6.93
17-06-1961,34.2,24.2,0.1,55,279.62784,18.2,18.6,943.8,0.314,6.35
18-06-1961,35.9,25.1,0.4,56,287.6139,14.9,19.6,945.0,0.301,6.13
19-06-1961,35.3,24.6,15.5,64,270.13716,10.1,20.7,945.4,0.31,5.46
20-06-1961,31.5,24.4,23.0,79,247.45211999999998,13.2,23.2,943.5,0.461,4.63
21-06-1961,31.1,23.7,1.8,75,247.22064,16.6,22.0,943.8,0.412,4.9
22-06-1961,31.7,24.1,2.6,69,258.44741999999997,16.3,21.2,944.5,0.39,5.3
23-06-1961,31.4,23.6,1.2,73,267.47514,18.9,21.3,944.7,0.393,5.28
24-06-1961,30.4,23.5,2.8,72,218.28564,24.0,20.7,942.6,0.388,4.91
25-06-1961,28.5,23.1,12.0,81,186.10992,25.0,21.7,939.1,0.424,3.69
26-06-1961,31.4,23.5,3.3,77,202.19778,17.7,22.1,939.2,0.453,4.25
27-06-1961,31.7,24.2,0.6,74,233.79479999999998,16.0,22.2,940.1,0.424,4.66
28-06-1961,32.7,24.0,0.0,67,279.04913999999997,12.5,21.0,940.3,0.401,5.64
29-06-1961,33.1,24.6,0.0,67,258.91038000000003,14.7,21.6,938.9,0.373,5.6
30-06-1961,32.1,24.7,0.0,71,216.4338,15.3,22.0,937.2,0.353,4.64
01-07-1961,32.2,24.9,0.0,68,219.09582,11.5,21.8,935.7,0.338,4.74
02-07-1961,30.0,24.3,4.6,83,226.15596,8.0,23.4,935.0,0.378,4.06
03-07-1961,31.5,24.9,6.2,75,201.9663,9.9,22.4,934.9,0.414,3.99
04-07-1961,30.6,24.9,8.0,74,173.26278,19.6,22.0,935.4,0.404,3.83
05-07-1961,30.5,23.9,3.3,70,178.00812000000002,19.4,20.9,936.4,0.393,4.26
06-07-1961,28.4,23.7,19.1,80,54.86076,20.6,21.7,937.5,0.391,2.12
07-07-1961,27.6,22.7,31.0,86,51.388560000000005,23.9,21.9,939.3,0.492,1.75
08-07-1961,27.4,23.0,16.5,85,34.95348,22.0,22.1,941.0,0.488,1.59
09-07-1961,25.2,22.7,18.9,92,42.013619999999996,22.7,22.2,938.3,0.489,1.11
10-07-1961,26.5,22.3,93.5,87,37.38402,23.4,21.5,937.8,0.504,1.41
11-07-1961,27.3,23.2,2.8,84,79.97634000000001,20.3,22.0,940.6,0.486,2.11
12-07-1961,29.0,23.8,2.3,81,202.77648,23.4,22.3,940.5,0.474,4.02
13-07-1961,27.0,23.3,26.6,86,67.36068,22.7,22.2,940.1,0.477,1.84
14-07-1961,27.5,23.1,2.3,83,129.28158,27.6,21.7,940.4,0.476,2.84
15-07-1961,25.7,23.2,2.6,88,90.2772,22.6,21.9,939.6,0.472,1.94
16-07-1961,26.6,22.2,11.8,88,73.37916,21.1,21.4,938.9,0.447,1.74
17-07-1961,23.8,21.6,92.1,95,30.55536,24.1,21.7,938.2,0.483,0.71
18-07-1961,23.8,21.2,1.9,93,101.96694000000001,31.5,21.0,937.0,0.481,1.64
19-07-1961,28.2,21.5,0.1,80,196.87374000000003,22.1,20.8,939.5,0.469,3.52
20-07-1961,28.4,22.4,4.8,82,174.53592,13.2,21.7,940.2,0.468,3.27
21-07-1961,26.4,22.1,23.8,94,93.51792,16.0,22.4,937.5,0.472,1.65
22-07-1961,28.8,22.2,10.6,85,184.6053,9.0,22.2,938.0,0.483,3.3
23-07-1961,27.7,23.4,10.9,91,134.02692,9.4,23.3,939.6,0.48,2.41
24-07-1961,27.8,23.1,4.3,92,183.4479,10.0,23.0,942.3,0.475,3.06
25-07-1961,29.2,23.1,7.5,84,197.68391999999997,11.4,22.5,941.8,0.482,3.55
26-07-1961,28.9,23.0,2.2,86,210.53106000000002,10.8,22.9,940.7,0.487,3.69
27-07-1961,29.3,22.8,2.2,85,211.57272,14.8,22.7,941.3,0.477,3.8
28-07-1961,30.0,23.7,2.2,82,208.21625999999998,19.6,22.5,942.0,0.471,3.94
29-07-1961,29.0,23.8,1.5,79,203.58666,18.4,22.0,940.5,0.459,3.96
30-07-1961,29.1,23.5,1.9,84,186.80436,17.2,22.7,941.2,0.452,3.46
31-07-1961,29.0,23.5,4.4,85,163.07766,18.7,22.7,942.6,0.457,3.09
01-08-1961,28.1,23.6,5.1,84,140.0454,23.1,22.4,942.0,0.452,2.83
02-08-1961,27.7,23.5,2.3,84,147.45276,18.4,22.2,942.0,0.448,2.95
03-08-1961,27.8,22.9,9.9,90,140.85558,18.3,22.9,941.5,0.467,2.53
04-08-1961,26.8,23.1,3.3,87,106.13358,20.5,22.3,941.0,0.488,2.26
05-08-1961,26.2,23.6,1.8,87,79.62912,26.0,22.3,938.9,0.473,1.8
06-08-1961,27.4,23.3,1.7,87,103.24007999999999,24.1,22.4,938.0,0.471,2.18
07-08-1961,27.9,23.2,4.6,85,143.86482,25.0,22.0,939.2,0.474,2.82
08-08-1961,27.3,23.1,2.5,85,92.70774,20.3,22.0,940.4,0.475,2.19
09-08-1961,27.5,22.5,2.3,85,141.43428,23.1,21.6,940.8,0.478,2.77
10-08-1961,27.6,22.3,1.3,84,181.24884,21.0,21.4,940.9,0.483,3.31
11-08-1961,28.0,22.3,2.0,82,218.86434,19.3,21.7,941.2,0.47,3.86
12-08-1961,28.2,22.6,1.1,83,221.17914,17.8,22.0,942.0,0.462,3.87
13-08-1961,29.3,23.2,2.7,83,213.07734,15.5,22.7,941.0,0.453,3.83
14-08-1961,29.1,23.6,10.3,88,131.71212,14.5,23.1,940.3,0.462,2.54
15-08-1961,25.1,23.0,37.7,92,36.80532,19.9,22.5,939.7,0.506,0.96
16-08-1961,27.7,22.5,1.9,85,172.33686,18.1,22.0,940.9,0.496,3.1
17-08-1961,28.3,22.8,1.6,87,196.64226,18.7,22.7,941.2,0.48,3.38
18-08-1961,28.1,23.3,9.6,85,181.36458,16.1,22.6,940.9,0.481,3.31
19-08-1961,28.4,23.7,9.9,87,150.69348,21.5,23.2,939.4,0.489,2.86
20-08-1961,28.7,23.9,0.0,80,189.92934,23.8,22.0,938.4,0.476,3.79
21-08-1961,28.9,23.3,0.0,77,199.88298,20.9,21.2,939.7,0.457,3.94
22-08-1961,28.4,22.4,1.8,79,168.17022,20.7,21.3,940.5,0.45,3.39
23-08-1961,27.9,22.2,1.6,81,133.21674,21.7,21.6,941.1,0.447,2.71
24-08-1961,25.9,23.0,16.8,93,83.68002,18.7,22.9,940.0,0.471,1.45
25-08-1961,28.6,22.5,21.2,91,142.70741999999998,16.5,23.1,938.7,0.485,2.55
26-08-1961,26.6,22.6,3.1,92,122.22144,24.5,22.5,939.3,0.481,2.08
27-08-1961,28.0,22.8,3.4,86,187.15158000000002,18.3,22.2,942.1,0.484,3.31
28-08-1961,28.7,22.1,0.7,81,212.96159999999998,14.9,21.6,944.2,0.475,3.86
29-08-1961,28.4,23.0,0.7,79,199.0728,20.5,21.3,943.5,0.461,3.86
30-08-1961,27.9,22.5,2.3,82,160.06842,18.4,21.5,942.4,0.46,3.04
31-08-1961,26.8,22.6,3.3,88,142.70741999999998,15.1,22.1,943.6,0.474,2.54
01-09-1961,28.1,23.1,0.3,84,159.37398,18.1,22.0,944.1,0.476,3.06
02-09-1961,26.2,22.9,4.5,90,147.33702,19.6,22.4,943.0,0.476,2.53
03-09-1961,25.2,22.5,27.1,94,36.80532,22.4,22.3,942.2,0.492,0.85
04-09-1961,23.2,21.9,44.3,96,28.009079999999997,23.4,21.8,941.8,0.483,0.61
05-09-1961,25.1,22.1,11.0,93,72.22176,21.6,21.9,942.2,0.49,1.36
06-09-1961,27.0,22.1,3.8,89,140.97132,18.6,21.8,943.5,0.477,2.46
07-09-1961,27.9,22.1,1.2,87,130.55472,16.1,21.8,943.7,0.479,2.46
08-09-1961,24.9,22.6,16.2,94,56.24964,23.5,22.4,942.3,0.474,1.08
09-09-1961,23.5,22.2,82.3,96,75.34674,27.7,22.0,938.6,0.483,1.24
10-09-1961,24.9,21.9,19.8,91,79.16615999999999,30.1,21.4,939.4,0.505,1.62
11-09-1961,26.6,22.1,8.1,82,164.46654,30.4,20.7,940.0,0.488,3.23
12-09-1961,25.3,21.5,0.8,87,66.66624,23.3,21.0,942.2,0.484,1.54
13-09-1961,28.2,22.4,1.8,83,193.74875999999998,15.3,21.6,944.4,0.476,3.48
14-09-1961,27.5,22.2,0.4,82,174.1887,16.0,21.1,943.6,0.465,3.34
15-09-1961,26.0,22.4,12.0,93,137.15189999999998,21.7,22.3,941.2,0.474,2.11
16-09-1961,24.9,22.2,12.2,92,37.73124,18.7,21.8,941.8,0.46,0.92
17-09-1961,24.7,22.1,20.2,94,59.37462,15.2,21.9,943.6,0.479,1.11
18-09-1961,27.1,22.1,6.1,90,134.95284,15.5,22.1,945.0,0.485,2.32
19-09-1961,28.6,22.3,1.0,83,181.82754,17.2,21.6,946.3,0.473,3.29
20-09-1961,28.4,21.8,0.3,81,198.84132,15.0,21.1,946.0,0.457,3.63
21-09-1961,27.4,21.4,0.9,84,206.0172,15.0,21.4,944.7,0.445,3.55
22-09-1961,27.4,21.6,1.1,86,196.98948,15.0,21.7,944.1,0.442,3.36
23-09-1961,28.6,21.7,1.4,81,191.5497,17.9,20.9,944.7,0.436,3.54
24-09-1961,27.8,22.5,2.9,86,162.49895999999998,19.0,21.8,944.3,0.449,2.87
25-09-1961,23.7,22.3,19.2,91,80.90226,18.7,21.4,943.1,0.488,1.49
26-09-1961,22.5,18.8,88.6,91,55.5552,26.6,19.4,939.5,0.484,1.17
27-09-1961,22.1,19.4,82.6,94,48.14784,27.0,19.8,940.6,0.485,0.9
28-09-1961,24.1,19.7,32.9,95,51.04134,16.2,20.9,943.3,0.473,0.91
29-09-1961,28.6,21.3,9.1,89,104.74470000000001,11.8,21.9,944.4,0.476,1.99
30-09-1961,28.5,22.4,2.2,88,147.22128,12.8,22.6,944.2,0.472,2.66
01-10-1961,29.0,22.6,1.1,87,148.03145999999998,16.5,22.7,944.6,0.478,2.76
02-10-1961,28.8,23.0,0.5,87,175.11462,17.2,22.4,944.5,0.464,3.11
03-10-1961,27.8,21.8,1.3,85,181.01736,14.9,21.4,946.0,0.456,3.16
04-10-1961,28.8,21.6,0.1,86,206.5959,13.2,22.0,947.6,0.449,3.51
05-10-1961,30.4,20.9,0.0,72,255.7854,12.7,19.1,947.1,0.437,4.82
06-10-1961,30.2,19.8,0.1,70,229.97538,14.4,18.7,945.2,0.417,4.45
07-10-1961,27.8,21.3,4.1,86,163.1934,10.5,21.7,944.1,0.427,2.83
08-10-1961,25.7,21.6,16.2,90,134.72136,13.1,21.5,943.3,0.477,2.29
09-10-1961,26.6,21.4,6.8,90,110.87892,16.9,21.4,943.7,0.492,2.03
10-10-1961,24.9,21.5,17.6,93,80.32356,14.9,21.5,944.0,0.47,1.44
11-10-1961,25.6,21.3,10.2,94,45.83304,18.6,21.5,943.1,0.477,0.92
12-10-1961,25.7,21.4,7.4,91,101.15676,19.4,21.2,944.1,0.482,1.79
13-10-1961,28.6,19.4,0.0,76,247.91508000000002,14.7,18.8,948.0,0.481,4.38
14-10-1961,28.7,18.8,0.0,68,236.34108,5.9,16.7,949.5,0.46,4.12
15-10-1961,28.5,19.8,0.0,64,237.96143999999998,9.9,16.0,949.6,0.445,4.4
16-10-1961,28.1,19.2,0.0,62,223.84116,8.2,14.6,948.8,0.432,3.96
17-10-1961,27.4,18.1,0.0,64,240.97068,8.6,14.4,950.3,0.42,4.29
18-10-1961,26.5,15.4,0.0,55,254.85948,13.5,10.9,952.4,0.407,4.76
19-10-1961,26.2,13.6,0.0,60,255.32243999999997,13.9,11.5,952.3,0.393,4.62
20-10-1961,26.8,13.9,0.0,65,240.97068,10.7,12.7,951.1,0.382,4.23
21-10-1961,27.4,15.5,0.0,61,237.03552,10.8,13.0,950.5,0.371,4.36
22-10-1961,27.7,15.6,0.0,55,254.0493,11.1,11.1,951.9,0.36,4.77
23-10-1961,28.1,15.0,0.0,56,251.50302,12.0,11.3,952.2,0.349,4.68
24-10-1961,27.5,15.5,0.0,54,248.14656000000002,10.6,11.4,952.6,0.34,4.66
25-10-1961,26.7,16.3,0.0,54,246.75768,8.4,11.3,951.6,0.331,4.36
26-10-1961,26.8,17.9,0.0,52,244.21140000000003,6.8,11.4,950.9,0.324,4.21
27-10-1961,27.4,18.1,0.0,52,240.62346,8.0,11.5,950.4,0.316,4.17
28-10-1961,27.4,18.8,0.0,53,236.22534,9.9,12.1,949.2,0.31,4.25
29-10-1961,27.4,17.3,0.0,54,205.66997999999998,11.8,12.1,948.7,0.303,4.2
30-10-1961,25.9,19.0,0.0,60,193.05432,14.7,13.6,950.2,0.3,3.75
31-10-1961,26.2,15.7,0.3,68,167.823,11.8,15.0,953.4,0.299,3.19
01-11-1961,26.3,17.8,0.0,67,142.36020000000002,8.8,15.2,953.8,0.297,2.68
02-11-1961,26.3,17.9,0.3,69,173.72574,11.2,15.8,954.4,0.294,3.23
03-11-1961,26.9,17.5,0.0,68,182.75346,14.2,15.7,954.1,0.291,3.45
04-11-1961,26.9,17.2,0.0,62,183.56364,12.3,13.9,952.8,0.287,3.5
05-11-1961,26.9,16.3,0.0,60,181.48032,11.8,13.1,951.1,0.283,3.49
06-11-1961,26.1,16.1,4.8,70,183.91086,10.6,15.0,950.9,0.312,3.17
07-11-1961,25.1,15.9,0.4,73,173.49426,12.8,15.2,951.6,0.398,3.03
08-11-1961,25.2,16.5,0.6,70,173.0313,12.6,14.8,952.9,0.383,3.13
09-11-1961,25.9,16.9,0.1,64,171.8739,13.1,13.8,952.6,0.37,3.33
10-11-1961,26.0,17.5,0.0,63,164.00358,12.4,13.6,952.7,0.357,3.25
11-11-1961,25.9,16.2,0.0,63,175.57757999999998,11.5,13.6,952.6,0.345,3.38
12-11-1961,26.5,15.3,0.0,60,193.2858,8.4,12.7,951.7,0.334,3.6
13-11-1961,27.4,15.4,0.0,58,183.56364,10.4,12.5,951.1,0.323,3.7
14-11-1961,27.7,17.4,0.0,54,203.00796,12.4,11.9,951.1,0.314,4.07
15-11-1961,27.6,17.7,0.0,53,171.75816,12.1,12.0,951.6,0.305,3.69
16-11-1961,27.7,17.2,0.0,57,171.41094,10.5,12.8,951.7,0.298,3.47
17-11-1961,27.5,16.0,0.0,53,208.56348,12.2,11.2,952.2,0.292,3.95
18-11-1961,26.9,16.0,0.0,51,205.66997999999998,11.2,10.5,952.7,0.286,4.05
19-11-1961,27.1,15.7,0.0,55,198.26262,12.7,11.7,952.9,0.28,3.87
20-11-1961,27.5,15.2,0.0,57,195.36911999999998,9.4,12.1,952.2,0.276,3.57
21-11-1961,27.7,18.9,0.0,55,189.81359999999998,7.9,13.0,950.9,0.272,3.45
22-11-1961,27.9,15.5,0.0,58,200.57742,8.7,11.9,951.0,0.269,3.47
23-11-1961,26.4,16.2,0.0,55,196.98948,12.5,11.2,951.9,0.266,3.64
24-11-1961,26.6,15.0,0.0,50,203.1237,11.5,9.4,953.4,0.263,3.79
25-11-1961,26.5,14.3,0.0,50,207.17459999999997,9.2,9.3,953.3,0.26,3.87
26-11-1961,26.3,13.9,0.0,52,202.89222,11.7,9.5,951.6,0.258,3.87
27-11-1961,26.8,15.7,0.0,50,200.2302,9.5,10.0,952.0,0.256,3.88
28-11-1961,27.4,16.7,0.0,48,196.29504,9.2,10.4,954.2,0.254,3.87
29-11-1961,27.4,14.4,0.0,54,201.73481999999998,9.7,10.6,956.0,0.253,3.85
30-11-1961,26.5,13.9,0.0,55,201.3876,9.4,10.1,954.9,0.251,3.73
01-12-1961,26.2,13.9,0.0,53,201.04038,9.0,9.4,953.5,0.25,3.79
02-12-1961,26.4,12.6,0.0,37,204.04961999999998,10.3,3.4,953.0,0.249,4.36
03-12-1961,26.1,13.4,0.0,36,200.80890000000002,14.4,3.5,954.2,0.249,4.48
04-12-1961,25.7,13.0,0.0,41,200.69316,13.0,4.8,955.4,0.248,4.22
05-12-1961,25.9,12.1,0.0,45,201.04038,9.8,5.8,953.9,0.247,3.84
06-12-1961,25.5,11.8,0.0,43,202.19778,10.5,4.9,952.0,0.247,3.9
07-12-1961,24.9,11.5,0.0,35,202.19778,12.1,2.1,951.0,0.246,4.24
08-12-1961,25.5,12.6,0.0,43,195.48486,12.9,5.8,951.6,0.246,4.21
09-12-1961,25.5,14.7,0.0,57,170.36928,12.0,10.6,952.0,0.247,3.37
10-12-1961,26.2,13.7,0.0,61,187.61454,9.7,10.9,949.9,0.247,3.34
11-12-1961,25.9,13.4,0.0,55,191.5497,10.1,9.3,949.4,0.247,3.52
12-12-1961,25.4,12.7,0.0,53,196.41078,14.5,8.4,952.0,0.246,3.86
13-12-1961,24.5,13.1,0.0,50,193.40154,14.3,7.7,953.1,0.246,3.81
14-12-1961,24.4,12.0,0.0,41,197.45244,13.0,4.1,952.2,0.246,4.0
15-12-1961,24.2,11.4,0.0,40,198.03114,10.7,3.2,950.8,0.246,3.76
16-12-1961,25.6,11.2,0.0,50,190.04508,16.3,7.8,948.9,0.245,3.92
17-12-1961,25.9,15.9,0.0,49,194.44320000000002,22.2,8.0,947.4,0.245,4.28
18-12-1961,22.9,13.3,0.0,56,192.01265999999998,14.1,8.1,950.5,0.245,3.56
19-12-1961,20.8,10.2,0.0,48,201.3876,15.8,3.5,953.4,0.245,3.7
20-12-1961,22.1,8.9,0.0,50,198.37836000000001,13.4,4.4,951.9,0.245,3.66
21-12-1961,21.6,12.6,2.2,57,160.06842,14.3,7.9,952.1,0.263,3.13
22-12-1961,22.0,11.8,0.0,57,186.10992,13.0,7.6,952.5,0.269,3.24
23-12-1961,22.1,10.5,0.0,64,168.4017,13.6,8.8,951.5,0.266,2.92
24-12-1961,23.6,12.4,0.0,59,161.57304000000002,9.4,8.9,951.0,0.264,2.86
25-12-1961,22.5,12.2,0.0,61,155.20734,13.5,9.4,952.5,0.262,2.94
26-12-1961,22.7,11.4,0.0,57,176.38776,15.8,7.5,952.7,0.261,3.42
27-12-1961,21.4,11.9,0.7,51,153.12402,13.9,5.7,951.8,0.264,3.36
28-12-1961,23.5,12.5,0.0,47,178.00812000000002,12.1,5.6,952.0,0.263,3.65
29-12-1961,25.1,11.9,0.0,51,196.64226,11.2,7.2,951.7,0.26,3.82
30-12-1961,25.4,11.5,0.0,53,190.39229999999998,17.7,7.8,950.6,0.258,3.81
31-12-1961,24.9,13.5,0.0,48,188.42472,11.7,6.5,951.3,0.256,3.6
01-01-1962,23.0,12.3,0.0,48,201.61908000000003,17.3,4.9,952.8,0.255,3.94
02-01-1962,22.9,8.8,0.0,40,207.40608,11.1,1.2,953.4,0.253,3.8
03-01-1962,23.7,7.3,0.0,38,209.83661999999998,10.3,-0.5,953.6,0.252,3.89
04-01-1962,24.8,9.3,0.0,35,210.0681,8.8,-0.3,952.9,0.25,3.74
05-01-1962,25.7,12.4,0.0,33,201.3876,10.8,2.1,951.7,0.25,4.19
06-01-1962,26.8,13.4,0.0,42,198.14688,6.4,6.7,951.8,0.249,3.34
07-01-1962,26.2,13.1,0.0,54,200.92463999999998,12.7,9.1,951.9,0.248,3.76
08-01-1962,26.1,12.7,0.0,52,203.93388000000002,12.7,8.4,951.7,0.247,3.85
09-01-1962,26.4,11.8,0.0,48,206.13294,9.7,6.8,950.1,0.247,3.8
10-01-1962,26.8,11.9,0.0,48,206.5959,10.9,7.3,949.3,0.246,4.07
11-01-1962,27.1,13.1,0.0,41,207.98477999999997,12.7,4.6,949.9,0.246,4.12
12-01-1962,25.7,9.9,0.0,35,213.42456,9.7,1.0,950.9,0.246,4.09
13-01-1962,24.5,10.7,0.0,38,212.96159999999998,13.2,1.6,952.1,0.245,4.29
14-01-1962,23.9,10.1,0.0,36,215.04492,10.9,0.8,951.5,0.245,3.88
15-01-1962,23.9,9.0,0.0,34,215.97084,9.9,-0.2,950.3,0.245,4.13
16-01-1962,24.3,8.8,0.0,34,219.906,10.5,-0.3,950.0,0.245,4.21
17-01-1962,26.2,8.9,0.0,43,216.31806,12.7,3.9,948.9,0.245,4.3
18-01-1962,26.7,9.4,0.0,38,216.08658000000003,11.2,2.6,949.4,0.245,4.1
19-01-1962,25.7,11.2,0.0,38,216.4338,11.2,3.4,948.4,0.245,4.28
20-01-1962,25.6,12.1,0.0,36,219.44304,16.5,1.4,946.9,0.245,4.68
21-01-1962,22.1,9.9,0.0,26,223.95690000000002,19.5,-5.7,947.3,0.245,4.94
22-01-1962,21.1,6.5,0.0,22,230.43834,13.9,-9.0,951.0,0.245,4.45
23-01-1962,24.0,8.1,0.0,35,220.4847,14.5,-0.3,951.4,0.245,4.48
24-01-1962,27.0,13.7,0.1,45,180.78588,16.1,7.1,949.4,0.246,4.23
25-01-1962,24.2,14.9,0.5,53,192.47562,24.0,8.6,947.0,0.25,4.12
26-01-1962,22.0,10.6,0.0,41,218.28564,21.5,2.3,947.4,0.25,4.45
27-01-1962,21.6,8.2,0.0,39,228.81798,9.8,0.1,951.4,0.249,4.13
28-01-1962,22.8,7.5,0.0,35,231.01704,8.8,-1.4,951.7,0.248,3.93
29-01-1962,23.9,7.8,0.0,39,229.04945999999998,8.9,0.8,951.7,0.248,3.99
30-01-1962,24.7,9.6,0.0,39,230.09112,11.3,2.0,952.0,0.247,4.42
31-01-1962,26.6,10.5,0.0,39,227.08188,14.8,3.2,951.3,0.246,4.8
01-02-1962,25.2,11.7,0.0,34,234.48924000000002,15.5,0.5,954.1,0.246,5.3
02-02-1962,24.2,11.1,0.0,44,234.72072,18.4,3.7,957.6,0.246,4.59
03-02-1962,25.5,10.7,0.0,46,229.85963999999998,12.4,5.1,955.7,0.245,4.12
04-02-1962,26.7,12.1,0.0,42,204.97554,11.7,5.7,953.2,0.245,4.28
05-02-1962,24.8,15.6,0.8,49,186.34140000000002,20.4,8.3,952.7,0.247,4.4
06-02-1962,25.6,13.6,0.0,60,225.92448,14.8,10.9,953.1,0.248,4.1
07-02-1962,27.9,14.3,0.0,57,227.66058,10.7,11.1,951.0,0.247,4.36
08-02-1962,28.0,14.5,0.0,42,237.15125999999998,10.9,5.9,951.0,0.247,4.87
09-02-1962,29.3,14.2,0.0,38,238.77161999999998,12.8,5.6,952.3,0.246,5.27
10-02-1962,30.3,12.7,0.0,45,239.5818,14.6,7.3,952.8,0.246,5.13
11-02-1962,31.4,13.2,0.0,45,242.01234,10.4,7.2,953.9,0.245,4.94
12-02-1962,31.1,14.6,0.0,45,240.7392,9.9,8.9,954.3,0.245,4.68
